SeasonStart,Tm,PlayerName,injuries_data
2013,POR,Meyers Leonard,1
2013,ATL,Anthony Morrow,1
2013,DAL,Brandan Wright,1
2013,WAS,A.J. Price,1
2013,WAS,Trevor Ariza,1
2013,MIL,Beno Udrih,1
2013,CHI,Joakim Noah,1
2013,CHI,Vladimir Radmanovic,1
2013,BOS,Chris Wilcox,1
2013,BOS,Kris Joseph,1
2013,CHA,Eric Gordon,1
2013,BRK,C.J. Watson,1
2013,BRK,Jerry Stackhouse,1
2013,TOR,Linas Kleiza,1
2013,HOU,Cole Aldrich,1
2013,WAS,A.J. Price,1
2013,WAS,Trevor Ariza,1
2013,BOS,Fab Melo,1
2013,MIL,Doron Lamb,1
2013,CLE,Jon Leuer,1
2013,MEM,Zach Randolph,1
2013,ATL,Anthony Morrow,1
2013,ATL,Johan Petro,1
2013,BRK,Kris Humphries,1
2013,IND,Miles Plumlee,1
2013,IND,Sam Young,1
2013,DET,Khris Middleton,1
2013,TOR,Linas Kleiza,1
2013,WAS,A.J. Price,1
2013,WAS,Trevor Ariza,1
2013,MIL,Ersan Ilyasova,1
2013,MIL,Sam Young,1
2013,CLE,Samardo Samuels,1
2013,ATL,Anthony Morrow,1
2013,SAS,Stephen Jackson,1
2013,DET,Corey Maggette,1
2013,TOR,Aaron Gray,1
2013,TOR,Linas Kleiza,1
2013,WAS,A.J. Price,1
2013,WAS,Trevor Ariza,1
2013,POR,Will Barton,1
2013,WAS,Cartier Martin,1
2013,WAS,Jordan Crawford,1
2013,WAS,Nene Hilario,1
2013,MIL,Doron Lamb,1
2013,ATL,Johan Petro,1
2013,HOU,Patrick Beverley,1
2013,CHI,Kirk Hinrich,1
2013,CLE,C.J. Miles,1
2013,ATL,Anthony Morrow,1
2013,ATL,DeShawn Stevenson,1
2013,DAL,Bernard James,1
2013,DAL,Jared Cunningham,1
2013,TOR,Linas Kleiza,1
2013,TOR,Terrence Ross,1
2013,CLE,Anderson Varejao,1
2013,MIA,Shane Battier,1
2013,DAL,Dominique Jones,1
2013,ATL,Anthony Morrow,1
2013,BRK,Kris Humphries,1
2013,BRK,Mirza Teletovic,1
2013,TOR,Linas Kleiza,1
2013,GSW,Andris Biedrins,1
2013,MEM,Tony Wroten Jr.,1
2013,MEM,Quincy Pondexter,1
2013,IND,Paul George,1
2013,WAS,Cartier Martin,1
2013,WAS,Jordan Crawford,1
2013,BRK,Gerald Wallace,1
