#,SeasonStart,PlayerName,PlayerSalary,Pos,Age,Tm,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,injuries_data
22100,2013,A.J. Price,NA,PG,26,WAS,57,22,1278,12.4,50.1,0.484,15.00%,1.7,8.2,4.9,26.4,1.3,0.2,12.7,18,1,1.2,2.2,0.084,-0.1,-1.7,-1.8,0.1,161,413,39,70,200,0.35,91,213,42.7,47.5,49,62,79,20,94,114,205,33,3,64,73,441,1
22100,2013,A.J. Price,NA,PG,26,WAS,57,22,1278,12.4,50.1,0.484,15.00%,1.7,8.2,4.9,26.4,1.3,0.2,12.7,18,1,1.2,2.2,0.084,-0.1,-1.7,-1.8,0.1,161,413,39,70,200,0.35,91,213,42.7,47.5,49,62,79,20,94,114,205,33,3,64,73,441,1
22100,2013,A.J. Price,NA,PG,26,WAS,57,22,1278,12.4,50.1,0.484,15.00%,1.7,8.2,4.9,26.4,1.3,0.2,12.7,18,1,1.2,2.2,0.084,-0.1,-1.7,-1.8,0.1,161,413,39,70,200,0.35,91,213,42.7,47.5,49,62,79,20,94,114,205,33,3,64,73,441,1
22100,2013,A.J. Price,NA,PG,26,WAS,57,22,1278,12.4,50.1,0.484,15.00%,1.7,8.2,4.9,26.4,1.3,0.2,12.7,18,1,1.2,2.2,0.084,-0.1,-1.7,-1.8,0.1,161,413,39,70,200,0.35,91,213,42.7,47.5,49,62,79,20,94,114,205,33,3,64,73,441,1
22100,2013,A.J. Price,NA,PG,26,WAS,57,22,1278,12.4,50.1,0.484,15.00%,1.7,8.2,4.9,26.4,1.3,0.2,12.7,18,1,1.2,2.2,0.084,-0.1,-1.7,-1.8,0.1,161,413,39,70,200,0.35,91,213,42.7,47.5,49,62,79,20,94,114,205,33,3,64,73,441,1
22100,2013,A.J. Price,NA,PG,26,WAS,57,22,1278,12.4,50.1,0.484,15.00%,1.7,8.2,4.9,26.4,1.3,0.2,12.7,18,1,1.2,2.2,0.084,-0.1,-1.7,-1.8,0.1,161,413,39,70,200,0.35,91,213,42.7,47.5,49,62,79,20,94,114,205,33,3,64,73,441,1
22100,2013,A.J. Price,NA,PG,26,WAS,57,22,1278,12.4,50.1,0.484,15.00%,1.7,8.2,4.9,26.4,1.3,0.2,12.7,18,1,1.2,2.2,0.084,-0.1,-1.7,-1.8,0.1,161,413,39,70,200,0.35,91,213,42.7,47.5,49,62,79,20,94,114,205,33,3,64,73,441,1
23334,2015,A.J. Price,NA,PG,28,TOT,26,0,324,12,45.1,0.416,17.50%,2.1,8.9,5.6,23.5,1.1,0,8.7,22.5,0,0.2,0.3,0.041,-0.7,-3.1,-3.7,-0.1,51,137,37.2,15,57,0.263,36,80,45,42.7,16,24,66.7,6,26,32,46,7,0,14,15,133,0
23335,2015,A.J. Price,NA,PG,28,IND,10,0,193,17.1,54.2,0.438,20.20%,1.2,6.8,4,25.3,1.1,0,9.4,25.1,0.3,0.2,0.5,0.123,2.7,-3.6,-0.8,0.1,39,89,43.8,15,39,0.385,24,50,48,52.2,12,18,66.7,2,12,14,27,4,0,10,9,105,0
23336,2015,A.J. Price,NA,PG,28,CLE,11,0,87,7.7,30,0.324,17.60%,5.4,14.3,9.9,22.1,1.8,0,7.6,20.6,-0.2,0.1,-0.1,-0.051,-4.6,-1.5,-6.1,-0.1,9,34,26.5,0,11,0,9,23,39.1,26.5,4,6,66.7,4,11,15,13,3,0,3,1,22,0
21751,2013,Aaron Brooks,3396250,PG,28,TOT,53,20,997,11.8,55.5,0.424,16.50%,1.5,7.9,4.6,18,1.5,0.8,16.5,18.1,0.8,0,0.8,0.041,0,-2.7,-2.7,-0.2,143,316,45.3,50,134,0.373,93,182,51.1,53.2,40,52,76.9,13,67,80,114,30,10,67,94,376,0
21753,2013,Aaron Brooks,3396250,PG,28,HOU,7,0,38,5.6,38.5,0.538,0.00%,3,3,3,23.1,1.3,6,23.5,19.6,-0.1,0,0,-0.063,-5.8,-0.5,-6.3,0,4,13,30.8,2,7,0.28600000000000003,2,6,33.3,38.5,0,0,NA,1,1,2,6,1,3,4,5,10,0
22337,2014,Aaron Brooks,NA,PG,29,TOT,72,12,1557,12.5,51.8,0.427,16.40%,3.1,6.7,4.9,23.3,1.6,0.6,15.8,20.5,1.3,0.9,2.2,0.067,0.4,-1.9,-1.5,0.2,233,581,40.1,96,248,0.387,137,333,41.1,48.4,83,95,87.4,43,97,140,233,52,13,117,146,645,0
22338,2014,Aaron Brooks,NA,PG,29,HOU,43,0,716,11.9,52.9,0.502,16.70%,3.8,5.7,4.8,18.1,1.7,0.6,15.3,20.4,0.6,0.5,1.1,0.076,0.3,-2.1,-1.8,0,104,263,39.5,54,132,0.409,50,131,38.2,49.8,37,44,84.1,23,39,62,83,25,6,51,76,299,1
22939,2015,Aaron Brooks,2000000,PG,30,CHI,82,21,1885,14.4,53.4,0.383,21.30%,1.9,7.5,4.8,24.2,1.5,0.6,14.9,25,1.7,1.5,3.3,0.083,1,-2.4,-1.4,0.3,344,817,42.1,121,313,0.387,223,504,44.2,49.5,145,174,83.3,32,134,166,261,54,15,157,189,954,1
22939,2015,Aaron Brooks,2000000,PG,30,CHI,82,21,1885,14.4,53.4,0.383,21.30%,1.9,7.5,4.8,24.2,1.5,0.6,14.9,25,1.7,1.5,3.3,0.083,1,-2.4,-1.4,0.3,344,817,42.1,121,313,0.387,223,504,44.2,49.5,145,174,83.3,32,134,166,261,54,15,157,189,954,1
21872,2013,Aaron Gray,2690875,C,28,TOR,42,16,513,9,54.4,0,48.90%,10.9,20,15.4,9.9,0.7,0.8,24.8,13.1,0.2,0.4,0.5,0.05,-3,0.1,-2.9,-0.1,48,90,53.3,0,0,NA,48,90,53.3,53.3,23,44,52.3,48,85,133,33,7,5,36,85,119,1
21872,2013,Aaron Gray,2690875,C,28,TOR,42,16,513,9,54.4,0,48.90%,10.9,20,15.4,9.9,0.7,0.8,24.8,13.1,0.2,0.4,0.5,0.05,-3,0.1,-2.9,-0.1,48,90,53.3,0,0,NA,48,90,53.3,53.3,23,44,52.3,48,85,133,33,7,5,36,85,119,1
21872,2013,Aaron Gray,2690875,C,28,TOR,42,16,513,9,54.4,0,48.90%,10.9,20,15.4,9.9,0.7,0.8,24.8,13.1,0.2,0.4,0.5,0.05,-3,0.1,-2.9,-0.1,48,90,53.3,0,0,NA,48,90,53.3,53.3,23,44,52.3,48,85,133,33,7,5,36,85,119,1
